Fips,Year,Area,GDP,GDPGrowth,Size.of.Metro.Area,Personal.Income,Num.Of.Jobs,Job.Growth,TYPE,land_area,population,households,dem_inc_median,dem_inc_less25,dem_inc_25to50,dem_inc_50to100,dem_inc_100to200,dem_inc_greater200,opticalfiber,advdl_gr1gig
43340,2012,"Shreveport-Bossier City, LA (MSA)",40183,-11.51,88.11,41234,201860,-1.02,HU,2597.769487,404130,174884,46806.0774,0.3161,0.3272,0.276,0.1211,0.0262,0,0
19140,2011,"Dalton, GA (MSA)",32476,-0.04,72.35,27701,65703,-0.17,POP,603.06009,144230,56552,42761.3698,0.3002,0.3468,0.2795,0.0573,0.0162,0,0
25500,2012,"Harrisonburg, VA (MSA)",44771,-1.77,98.17,32998,63555,0.66,POP,820.3278931,128607,53059,48312.5741,0.2617,0.3384,0.3143,0.121,0.0248,0.0115,0.002
19180,2011,"Danville, IL (MSA)",26199,1.21,58.36,32791,30050,1.54,POP,826.6696464,81211,36269,40798.2108,0.3571,0.3396,0.2615,0.0365,0.0053,0,0
25500,2012,"Harrisonburg, VA (MSA)",44771,-1.77,98.17,32998,63555,0.66,HU,820.3278931,128607,53059,48312.5741,0.2617,0.3384,0.3143,0.121,0.0248,0.013,0.0056
12220,2012,"Auburn-Opelika, AL (MSA)",24321,-1.59,53.33,30236,55994,3.67,POP,582.4515828,145813,65278,45897.7255,0.3347,0.3011,0.2847,0.1209,0.0195,0,0
12220,2012,"Auburn-Opelika, AL (MSA)",24321,-1.59,53.33,30236,55994,3.67,HU,582.4515828,145813,65278,45897.7255,0.3347,0.3011,0.2847,0.1209,0.0195,0,0
25060,2012,"Gulfport-Biloxi-Pascagoula, MS (MSA)",35517,-0.45,77.88,35448,166588,-0.53,POP,1928.932004,248276,110988,47688.6177,0.2726,0.3492,0.3071,0.1206,0.0193,0.6887,0.0003
25060,2012,"Gulfport-Biloxi-Pascagoula, MS (MSA)",35517,-0.45,77.88,35448,166588,-0.53,HU,1928.932004,248276,110988,47688.6177,0.2726,0.3492,0.3071,0.1206,0.0193,0.7224,0.0003
33140,2012,"Michigan City-La Porte, IN (MSA)",28572,0.43,62.65,33399,44439,0.16,POP,553.449065,112067,49680,48822.1181,0.247,0.3521,0.3255,0.1205,0.0177,0.2292,0.2292
47940,2012,"Waterloo-Cedar Falls, IA (MSA)",41402,3.74,90.79,41339,94494,2.19,POP,1378.500063,169327,72498,48808.33,0.2577,0.333,0.3324,0.1205,0.0181,0.2542,0
33140,2012,"Michigan City-La Porte, IN (MSA)",28572,0.43,62.65,33399,44439,0.16,HU,553.449065,112067,49680,48822.1181,0.247,0.3521,0.3255,0.1205,0.0177,0.1953,0.1953
47940,2012,"Waterloo-Cedar Falls, IA (MSA)",41402,3.74,90.79,41339,94494,2.19,HU,1378.500063,169327,72498,48808.33,0.2577,0.333,0.3324,0.1205,0.0181,0.236,0
39820,2012,"Redding, CA (MSA)",24187,-0.46,53.04,37593,61540,-0.36,POP,3708.387935,178851,77205,48289.7029,0.2819,0.3376,0.3038,0.1204,0.0248,0.0011,0.0013
39820,2012,"Redding, CA (MSA)",24187,-0.46,53.04,37593,61540,-0.36,HU,3708.387935,178851,77205,48289.7029,0.2819,0.3376,0.3038,0.1204,0.0248,0.001,0.0012
28660,2012,"Killeen-Temple, TX (MSA)",32976,-1.9,72.31,39471,181093,-0.2,POP,2793.364208,427288,168048,51290.2042,0.2208,0.3476,0.3468,0.1197,0.0198,0,0
28660,2012,"Killeen-Temple, TX (MSA)",32976,-1.9,72.31,39471,181093,-0.2,HU,2793.364208,427288,168048,51290.2042,0.2208,0.3476,0.3468,0.1197,0.0198,0,0
27100,2012,"Jackson, MI (MSA)",28069,1.74,61.55,32670,57360,0.51,POP,658.5286358,160506,69485,48688.7139,0.2625,0.3402,0.3288,0.1196,0.0164,0,0
27100,2012,"Jackson, MI (MSA)",28069,1.74,61.55,32670,57360,0.51,HU,658.5286358,160506,69485,48688.7139,0.2625,0.3402,0.3288,0.1196,0.0164,0,0
43780,2012,"South Bend-Mishawaka, IN-MI (MSA)",36042,1.14,79.03,37929,136927,-0.27,POP,873.8748399,318878,142709,48715.2469,0.2702,0.3553,0.3027,0.1194,0.022,0.4022,0.4022
43780,2012,"South Bend-Mishawaka, IN-MI (MSA)",36042,1.14,79.03,37929,136927,-0.27,HU,873.8748399,318878,142709,48715.2469,0.2702,0.3553,0.3027,0.1194,0.022,0.4055,0.4055
20940,2012,"El Centro, CA (MSA)",21991,0.09,48.22,30894,58533,2.17,POP,4378.354188,182253,60436,44547.3369,0.3346,0.3162,0.2772,0.1193,0.0166,0,0
20940,2012,"El Centro, CA (MSA)",21991,0.09,48.22,30894,58533,2.17,HU,4378.354188,182253,60436,44547.3369,0.3346,0.3162,0.2772,0.1193,0.0166,0,0
24660,2012,"Greensboro-High Point, NC (MSA)",43070,1.8,94.44,36645,358842,0.32,POP,1867.35228,737992,332094,49146.1198,0.2782,0.351,0.2897,0.119,0.0268,0.1531,0.0025
24660,2012,"Greensboro-High Point, NC (MSA)",43070,1.8,94.44,36645,358842,0.32,HU,1867.35228,737992,332094,49146.1198,0.2782,0.351,0.2897,0.119,0.0268,0.1503,0.0029
19340,2011,"Davenport-Moline-Rock Island, IA-IL (MSA)",40716,1.51,90.7,42836,188960,1.51,POP,2133.519557,381544,167986,49773.7604,0.2925,0.3081,0.315,0.0727,0.0117,0.0041,0
19380,2011,"Dayton, OH (MSA)",36932,2.49,82.27,38736,374523,1.27,POP,1554.340055,837584,383098,49694.9978,0.2715,0.3053,0.3179,0.0894,0.016,0,0
20220,2012,"Dubuque, IA (MSA)",44784,4.33,98.2,40371,59307,2.01,POP,586.5643841,95219,39778,51969.0209,0.2197,0.3513,0.3422,0.118,0.0269,0.029,0
20260,2012,"Duluth, MN-WI (MSA)",29958,-1.82,65.69,38171,132194,0.67,POP,9057.626387,280471,142908,47261.8314,0.2754,0.3276,0.3246,0.118,0.0167,0,0
20220,2012,"Dubuque, IA (MSA)",44784,4.33,98.2,40371,59307,2.01,HU,586.5643841,95219,39778,51969.0209,0.2197,0.3513,0.3422,0.118,0.0269,0.0323,0
20260,2012,"Duluth, MN-WI (MSA)",29958,-1.82,65.69,38171,132194,0.67,HU,9057.626387,280471,142908,47261.8314,0.2754,0.3276,0.3246,0.118,0.0167,0,0
21300,2012,"Elmira, NY (MSA)",29305,-0.44,64.26,38056,39352,-1.05,POP,381.4366748,88004,38212,47176.7866,0.2856,0.3367,0.3052,0.1179,0.0219,0.2851,0.0021
21300,2012,"Elmira, NY (MSA)",29305,-0.44,64.26,38056,39352,-1.05,HU,381.4366748,88004,38212,47176.7866,0.2856,0.3367,0.3052,0.1179,0.0219,0.2854,0.0042
19500,2012,"Decatur, IL (MSA)",44392,0.3,97.34,42287,54341,-0.22,POP,529.132891,109613,50386,46707.3564,0.2828,0.3553,0.2911,0.1178,0.026,0,0
30980,2012,"Longview, TX (MSA)",45369,5.01,99.48,41945,105345,2.89,POP,1717.084466,218059,89314,46897.3981,0.2739,0.3424,0.3048,0.1178,0.0244,0.0783,0
19500,2012,"Decatur, IL (MSA)",44392,0.3,97.34,42287,54341,-0.22,HU,529.132891,109613,50386,46707.3564,0.2828,0.3553,0.2911,0.1178,0.026,0,0
