COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
U.S. - ARKANSAS,5660,5754,6448,7393,7599,7545,10469,13681,8652,8832,9234,10011,11058,11486,11847,12283,13578,15286,16594,17750,17330,17559,20105,21185,24676
U.S. - CALIFORNIA,10872,11620,12274,12649,13033,13359,17765,22604,16239,16104,18552,18959,22881,23572,24229,25583,26328,27924,30614,31362,32129,34823,37005,38238,40059
U.S. - COLORADO,8018,8484,9090,9456,10431,11678,14692,18386,13411,12838,14166,14159,17133,17675,18313,19919,21867,23341,26023,28029,29629,31057,34735,35438,37909
U.S. - CONNECTICUT,12439,13174,13270,13807,14930,14641,19069,26072,17554,17564,17872,17694,20734,20925,21574,22427,26507,27822,31429,31327,34715,35737,40438,40167,42767
U.S. - DELAWARE,17493,19836,19946,20836,21139,22126,26525,33563,23217,24159,25585,24047,28015,28591,30102,30934,36039,37199,43416,41640,39279,40439,41835,42100,48131
U.S. - DISTRICT OF COLUMBIA,11126,11718,12113,12756,13240,13167,18620,25741,18007,18001,19037,18849,22514,24376,25550,27728,28264,31359,34445,37485,42405,43108,47571,49594,48085
U.S. - FLORIDA,8686,9395,9990,10406,11138,11368,15743,23348,15035,14959,15347,16217,19419,20458,21361,22433,24006,25094,29426,29467,31099,32141,35183,36455,38593
U.S. - GEORGIA,8997,9748,10285,11003,11450,11580,15752,21402,13596,13899,14521,14799,17874,18421,19087,20751,21997,23675,27955,27399,29895,32307,34888,36230,37967
U.S. - HAWAII,7313,7141,7679,7670,8243,8538,16049,26548,19326,19623,20218,20781,24315,25326,24080,23479,23995,25749,29690,29746,30533,31590,33026,34239,33595
U.S. - IDAHO,6328,6294,6639,7041,7390,7202,11421,11276,8896,8685,9810,9585,13944,14532,14504,14450,15339,16589,19950,20020,21194,21335,21996,24257,27137
U.S. - ILLINOIS,10754,10827,11299,11659,11972,11475,15718,23037,14194,14354,15147,15694,17939,18569,18899,20311,21853,23854,28480,29041,29983,32552,33177,35431,37017
U.S. - INDIANA,12484,12880,13000,12466,12637,13250,17548,33032,17247,17453,18235,17195,21680,22283,22467,22751,27348,27691,32389,30334,32889,34815,35873,34772,37260
U.S. - IOWA,8095,8346,8635,8512,9545,10495,14111,17789,12707,12204,12946,12101,15810,16173,15753,16135,17971,18291,21781,22050,24094,24343,26273,26182,29798
U.S. - KANSAS,7883,8171,8073,8505,8313,8042,11791,18000,10839,10635,10840,10687,10444,7935,8314,8919,9846,13364,23230,23001,24404,25201,25561,25957,30420
U.S. - KENTUCKY,8738,9348,9409,8971,9336,9311,13780,17198,11440,10893,11451,11550,13374,14209,14699,15698,16535,17648,20911,20034,20178,24885,30925,32682,28607
U.S. - LOUISIANA,7934,8293,8539,9005,9426,9549,13523,16161,11337,11903,12631,13222,15100,15400,15299,15980,16976,18411,20487,21239,22851,23181,25942,26604,29554
U.S. - MAINE,8061,8641,9314,9698,10653,11446,16839,27287,16294,15575,15890,15730,19701,20880,23621,22886,23686,24803,27267,26960,27688,28691,30510,28601,29735
U.S. - MARYLAND,11572,12718,12941,13598,14241,14116,18352,26973,16024,16664,17814,17508,19782,20470,21351,23492,25450,27230,31869,32545,34848,37598,42916,45135,49389
U.S. - MASSACHUSETTS,11356,12109,12682,12996,14688,15487,19606,25978,19341,18837,20497,19766,23997,24011,23984,23819,27813,29278,32804,32373,36037,38292,44984,46148,51643
U.S. - MICHIGAN,10943,10806,11188,11185,11864,11743,15621,27690,14589,15275,16275,16512,19761,20207,20759,21448,23289,24980,28643,28814,30548,33345,35998,37522,40767
U.S. - MINNESOTA,9271,9931,10024,10321,11023,11220,14497,23165,14114,14452,15556,15852,20425,20229,19615,19787,21315,23249,25360,27044,29884,31872,33972,35647,38695
U.S. - MISSISSIPPI,7350,8101,8691,9069,9784,9548,13648,18486,12631,12610,12905,12905,15550,15436,16830,18056,19761,20891,23965,24581,26431,26124,27801,28079,30231
U.S. - MISSOURI,7517,7496,7572,8235,8650,8685,12293,17468,11042,12383,13404,13891,14650,15225,15905,17126,18148,20392,23545,23491,25962,27813,31381,33547,33399
U.S. - MONTANA,6909,7008,7384,7501,7715,7984,12431,13040,9348,9516,10720,10416,14026,14445,14488,14508,16473,16767,21672,21614,22687,23206,25173,26005,26105
U.S. - NEBRASKA,8546,8770,9332,10609,11006,11270,14763,18542,14072,14472,14975,15636,19792,20844,20261,21383,23011,23435,25811,24925,25633,26311,28063,29943,31266
